nhdhr_id,geometry,Depth_avg,area
nhdhr_151949699,-91.730311;45.49872,3.1,3478494.56967713
nhdhr_120018114,-93.485506;44.952972,6.7,112501535.50932
nhdhr_120020636,-90.68379;47.8137610000001,5.2,1437016.15307431
nhdhr_121622394,-88.2656919999999;43.082322,4.8,9866318.1991528
nhdhr_91594833,-93.5239579999999;44.8325330000001,4.2,1198298.93033427
nhdhr_143418975,-98.439583;47.9062500000001,9.6,17608329.7237051
nhdhr_120018511,-95.8355109999999;46.7352760000001,3.9,742032.436411293
nhdhr_120020236,-93.5282359999999;44.738527,2.1,479642.218657117
nhdhr_86274749,-95.878589;46.803389,2.8,575179.727896225
nhdhr_86275195,-95.932714;46.775494,3.0,1111857.66425565
nhdhr_37648633,-93.2572959999999;44.7217660000001,3.9,1165822.57919972
nhdhr_86275155,-95.8798829999999;46.782156,3.1,271644.766533327
nhdhr_114544961,-91.255971;47.60727,3.7,239156.514360368
nhdhr_69886444,-89.698415;46.010517,4.4,636524.674904451
nhdhr_34127708,-93.3372859999999;45.037648,2.4,236433.974988113
nhdhr_120018038,-93.497917;45.110417,3.9,615490.169693571
nhdhr_120019932,-94.176638;46.6128640000001,6.1,33860404.9347941
nhdhr_45722930,-94.627851;45.814583,4.3,972339.882620274
nhdhr_121623871,-88.435716;42.5885950000001,2.3,21923303.226475
nhdhr_120020090,-96.141059;45.3755850000001,2.4,7949883.45661724
nhdhr_120018126,-93.634632;44.8849980000001,3.8,424535.933201803
nhdhr_121859009,-84.954819;43.9661840000001,2.5,121537.888384447
nhdhr_120020350,-92.8037889999999;45.229946,2.8,189778.01406493
nhdhr_47726570,-95.2227139999999;47.1961450000001,4.4,1211979.38924298
nhdhr_105567402,-95.272214;47.9560320000001,3.7,482703154.023928
nhdhr_121857622,-84.672917;44.435529,0.6,41266243.6080384
nhdhr_120018094,-93.4936039999999;44.98134,4.2,675357.12497564
nhdhr_91688455,-92.795625;45.1538870000001,5.6,821710.659093005
nhdhr_143249640,-89.339804;43.0532920000001,6.6,13597585.4759614
nhdhr_114542575,-90.175351;47.8664880000001,6.4,1030360.67215639
nhdhr_91690679,-92.822863;45.047855,4.7,177215.109522943
nhdhr_166867852,-94.112119;46.6701350000001,4.5,2804194.43415698
nhdhr_91593827,-93.556552;44.880094,3.9,354235.643387954
nhdhr_120020376,-92.8510419999999;45.101865,2.4,297191.140372574
nhdhr_159101724,-93.402069;43.6305380000001,3.2,2377975.0
